"Father" "Mother" "Gender" "Height" "SES"
"365" 70 63 0 63.7 7
"366" 70 63 0 62 4
"367" 70 63 1 70 9
"368" 70 63 1 66.5 7
"369" 70 63 0 62 1
"370" 70 63 0 61 4
"371" 70.5 62 1 72 3
"372" 70.5 62 1 70 10
"373" 70.5 62 1 69.5 4
"374" 70.5 62 1 69.5 1
"375" 70.5 62 1 68 9
"376" 70.5 62 0 65 1
"377" 70.5 62 0 64 1
"378" 70.5 62 0 63 5
"379" 70.3 62.7 1 70.7 6
"380" 70.3 62.7 1 69.7 1
"381" 70.3 62.7 1 69.2 4
"382" 70.3 62.7 1 65.2 3
"383" 70.3 62.7 0 64 3
"384" 70.3 62.7 0 63.5 7
"385" 70.3 62.7 0 63.2 4
"386" 70.5 62 1 72 7
"387" 70.5 62 1 72 5
"388" 70.5 62 0 60 3
"389" 70 61 1 71.2 8
"390" 70 61 1 67 10
"391" 70 60 1 67 4
"392" 70 60 1 64.5 7
"393" 70 60 0 65 10
"394" 70 60 0 63 5
"395" 70 60 0 65 7
"396" 70 60 0 65 6
"397" 70 58.5 1 71.5 5
"398" 70 58.5 1 64.5 8
"399" 70 58.5 0 63 8
"400" 70 58 1 72 10
"401" 70 58 1 66 9
"402" 70 58 0 66 5
"403" 70 58 0 65 2
"404" 70 58 0 63 1
"405" 69 68.5 1 75 8
"406" 69 68.5 1 71 3
"407" 69 68.5 1 70 1
"408" 69 68.5 0 66 1
"409" 69 68.5 0 66 3
"410" 69 68.5 0 65.5 2
"411" 69 68.5 0 65 7
"412" 69 68.5 0 65 4
"413" 69 68.5 0 64 8
"414" 69 68.5 0 64 10
"415" 69 67 0 64 5
"416" 69 66 1 73 3
"417" 69 66 1 72 1
"418" 69 66 1 71.7 8
"419" 69 66 1 71.5 4
"420" 69 66 0 65.5 9
"421" 69 66 0 65 8
"422" 69 66 0 62.7 5
"423" 69 66 0 62.5 2
"424" 69 66 1 71.2 2
"425" 69 66 1 71 4
"426" 69 66 1 70 7
"427" 69 66.7 1 75 2
"428" 69 66.7 1 74 6
"429" 69 66.7 1 72 10
"430" 69 66.7 1 68.5 9
"431" 69 66.7 1 67 9
"432" 69 66.7 1 66 6
"433" 69 66 1 70 3
"434" 69 66 1 68.5 8
"435" 69 66 1 68 1
"436" 69 66 0 65 1
"437" 69 66 0 63 3
"438" 69 66 0 62.5 6
"439" 69 66.5 1 73 2
"440" 69 66.5 1 71 2
"441" 69 66.5 1 70.5 8
"442" 69 66.5 1 70.5 3
"443" 69 66.5 0 61 3
"444" 69.5 66.5 1 70.5 7
"445" 69.5 66.5 1 67.5 8
"446" 69.5 66.5 0 64.5 8
"447" 69.5 66.5 0 64 4
"448" 69 66.5 1 71 6
"449" 69 66.5 0 68.5 5
"450" 69 66.5 0 67.5 5
"451" 69 66.5 0 66 5
"452" 69 66.5 0 63 2
"453" 69 66.5 0 63 9
"454" 69.5 66 1 71 8
"455" 69.5 66 1 71 9
"456" 69.5 66 1 70.5 5
"457" 69.5 66 1 70.5 6
"458" 69.5 66 0 66.5 7
"459" 69.5 66 0 65.5 10
"460" 69.5 66 0 64.5 9
"461" 69 66 1 73 7
"462" 69 66 1 72 4
"463" 69 66 1 69 9
"464" 69 66 1 69 10
"465" 69 66 0 66.5 6
"466" 69 66 0 65.5 5
"467" 69 66 0 65.5 2
"468" 69 66 0 65 8
"469" 69 66 0 64 8
"470" 69 65 1 70 3
"471" 69 65 1 68.5 4
"472" 69 65 1 67 8
"473" 69 65 0 65 6
"474" 69 65 0 64 5
"475" 69 65 0 63.5 2
"476" 69 65 0 61 6
"477" 69.5 64.5 1 69.7 9
"478" 69.5 64.5 1 68 9
"479" 69.5 64.5 1 60 5
"480" 69.5 64.5 0 65.2 4
"481" 69.5 64.5 0 64.5 9
"482" 69.5 64.5 0 63.7 6
"483" 69.5 64.5 0 60 7
"484" 69.2 64 1 71.7 10
"485" 69.2 64 1 66.5 5
"486" 69.2 64 0 65 1
"487" 69.2 64 0 63.5 6
"488" 69 63 1 69 4
"489" 69 63 0 67.5 2
"490" 69 63 0 63.5 1
"491" 69 63 1 72 2
"492" 69 63 1 73 7
"493" 69 63 1 70 9
"494" 69 63 1 70 1
"495" 69 63 1 64 1
"496" 69 63 0 66 1
"497" 69 63 0 62 4
"498" 69 63.5 1 70.5 9
"499" 69 63.5 1 67 4
"500" 69 63.5 1 66 5
"501" 69 63.5 0 65 9
"502" 69 63.5 0 63 1
"503" 69 63.5 0 62 4
"504" 69 63.5 0 61 3
"505" 69 63.5 1 70.5 4
"506" 69 63.5 0 63.7 1
"507" 69 63.5 0 63 8
"508" 69.7 62 0 62.5 9
"509" 69.5 62 1 73 10
"510" 69.5 62 1 72 9
"511" 69.5 62 1 69 10
"512" 69 62 1 73 2
"513" 69 62 1 71 8
"514" 69 62 1 71 2
"515" 69 62 1 69 8
"516" 69 62 0 63 1
"517" 69 62.5 1 71 7
"518" 69 62.5 1 70 5
"519" 69 62.5 1 70 6
"520" 69 62.5 1 69 1
"521" 69 62.5 0 63.5 8
"522" 69 62.5 0 62.5 7
"523" 69 62.5 0 62.5 3
"524" 69 62.5 0 62 7
"525" 69 62 1 72 10
"526" 69 62 1 68 2
"527" 69 62 0 66 2
"528" 69 62 0 66 8
"529" 69.5 61 1 70 1
"530" 69.5 61 1 69.5 9
"531" 69.5 61 1 69 10
"532" 69.5 61 0 63 4
"533" 69.5 61 0 62 1
"534" 69 61 1 68 10
"535" 69 61 1 68 4
"536" 69 61 1 67.5 1
"537" 69 61 1 64 5
"538" 69 61 1 63 2
"539" 69 61 1 63 7
"540" 69 61 0 63.5 9
"541" 69 61 0 62 5
"542" 69 61 0 62 3
"543" 69 60 1 70.5 1
"544" 69 60 0 68 6
"545" 69 60 0 62.5 2
"546" 69 60 1 69 3
"547" 69 60 1 66 3
"548" 69 60 0 61.7 10
"549" 69 60 0 60.5 5
"550" 69 60.5 1 69.5 5
"551" 68.7 70.5 1 71 2
"552" 68.7 70.5 0 61.7 8
"553" 68.5 67 1 73 6
"554" 68.5 67 1 71 9
"555" 68.5 67 0 67 2
"556" 68.5 66.5 1 70 4
"557" 68.5 66.5 1 69 8
"558" 68.5 66.5 1 69 4
"559" 68.5 66.5 1 68.7 8
"560" 68.5 66.5 1 68.5 10
"561" 68.5 66.5 1 68.5 1
"562" 68.5 66.5 1 68 6
"563" 68.5 66.5 1 68 5
"564" 68.5 66.5 1 68 3
"565" 68.5 66.5 0 63.2 10
"566" 68 65 1 67.5 8
"567" 68 65 1 66 6
"568" 68 65.5 1 66 10
"569" 68 65.5 0 64 8
"570" 68 65.5 1 71.7 8
"571" 68 65.5 1 71.5 10
"572" 68 65.5 1 70.7 8
"573" 68 65.5 1 65.5 7
"574" 68 65.5 0 66.5 6
"575" 68 65.5 0 65.2 5
"576" 68 65.5 0 61.5 10
"577" 68 65 1 72 2
"578" 68 65 1 72 2
"579" 68 65 0 68 8
"580" 68 65 0 66 3
"581" 68.5 65 1 69.2 9
"582" 68.5 65 1 68 4
"583" 68.5 65 1 66 4
"584" 68.5 65 1 66 5
"585" 68.5 65 0 62 2
"586" 68.5 65 0 61.5 3
"587" 68.5 65 0 61 6
"588" 68.5 65 0 60 1
"589" 68 64 1 71 1
"590" 68 64 1 68 1
"591" 68 64 1 68 7
"592" 68 64 1 67 7
"593" 68 64 0 65 5
"594" 68 64 0 64 8
"595" 68 64 0 63 5
"596" 68 64 0 63 4
"597" 68 64 0 62 3
"598" 68 64 0 61 3
"599" 68 64 1 66 4
"600" 68 64 1 63 7
"601" 68 64 0 65.5 1
"602" 68 64 0 62 8
"603" 68 64 1 71.2 8
"604" 68 64 1 71.2 10
"605" 68 64 1 69 7
"606" 68 64 1 68.5 10
"607" 68 64 0 62.5 9
"608" 68 64.5 0 62 4
"609" 68 64 1 69 5
"610" 68 64 1 67 9
"611" 68 64 1 66 10
"612" 68 64 0 66 9
"613" 68 64 0 66 3
"614" 68 64 0 65 5
"615" 68 64 0 65 4
"616" 68 64 0 65 6
"617" 68 64 0 64 4
"618" 68 64 0 63 4
"619" 68 63 1 70.5 1
"620" 68 63 1 70 1
"621" 68 63 1 68 1
"622" 68 63 1 66 1
"623" 68 63 1 66 4
"624" 68 63 0 66 2
"625" 68 63 0 62 8
"626" 68 63 0 61.5 10
"627" 68.5 63.5 1 73.5 5
"628" 68.5 63.5 1 70 7
"629" 68.5 63.5 1 69.5 9
"630" 68.5 63.5 0 65.5 5
"631" 68 63 1 67 2
"632" 68 63 1 70 3
"633" 68 63 1 68 3
"634" 68 63 0 64.5 4
"635" 68 63 0 64 5
"636" 68 63 1 71 5
"637" 68 63 1 68 10
"638" 68 63 1 66 4
"639" 68 63 1 65.5 1
"640" 68 63 1 65 1
"641" 68 63 0 63 2
"642" 68 63 0 62 4
"643" 68 63 0 62 4
"644" 68 63 1 67 3
"645" 68 63 1 67 10
"646" 68 63 1 66 3
"647" 68 63 0 64 1
"648" 68 63 0 63.5 7
"649" 68 63 0 61 7
"650" 68.5 63.5 1 68.2 9
"651" 68 63 1 70 2
"652" 68.2 63.5 1 70 8
"653" 68.2 63.5 1 69 2
"654" 68.2 63.5 1 67 8
"655" 68.2 63.5 1 65.5 2
"656" 68.2 63.5 0 64.5 2
"657" 68 62.5 1 68.5 6
"658" 68.7 62 1 67.7 8
"659" 68.7 62 0 61.7 1
"660" 68 62.5 1 66.5 4
"661" 68 61 1 68.5 2
"662" 68 61 1 68 7
"663" 68 61 1 64 5
"664" 68 61 0 63.5 10
"665" 68 61 0 63 2
"666" 68 60.2 1 66.7 4
"667" 68 60 1 64 2
"668" 68 60 0 61 2
"669" 68 60 0 61 4
"670" 68 60 0 60 2
"671" 68 60 0 60 1
"672" 68 60 0 60 3
"673" 68 60 0 56 8
"674" 68 60 1 67.5 1
"675" 68 60 1 67 4
"676" 68 60 1 66.5 1
"677" 68 60 0 60 4
"678" 68.5 59 1 69 7
"679" 68 59 1 68 6
"680" 68 59 1 65 6
"681" 68 59 1 64.7 1
"682" 68 59 1 64 9
"683" 68 59 1 64 9
"684" 68 59 1 63 1
"685" 68 59 0 65 10
"686" 68 59 0 65 6
"687" 68 59 0 62 5
"688" 68 59 0 61 2
"689" 67 66.2 1 72.7 8
"690" 67 66.2 1 72.7 8
"691" 67 66.2 1 71.5 5
"692" 67 66.2 0 65.5 4
"693" 67 66.2 0 63.5 5
"694" 67 66.5 1 71 10
"695" 67 65 1 69.7 1
"696" 67 65 1 67.5 8
"697" 67 65 0 65.5 3
"698" 67 65 0 65 8
"699" 67 65 0 64.5 8
"700" 67 65 0 63.5 5
"701" 67 65.5 1 70 1
"702" 67 65.5 1 69 5
"703" 67 65.5 0 65.5 9
"704" 67 65.5 0 65.5 5
"705" 67 65.5 0 63 2
"706" 67 65.5 1 70 10
"707" 67 65.5 1 67.7 6
"708" 67 65.5 0 63 4
"709" 67 65.5 0 60 3
"710" 67 65 1 65 3
"711" 67 65 0 62 3
"712" 67 65 0 62 7
"713" 67.5 65 1 71 5
"714" 67.5 65 1 69 1
"715" 67.5 65 0 64 8
"716" 67.5 65 0 64 5
"717" 67.5 65 0 63 1
"718" 67.5 65 0 63 5
"719" 67.5 65 0 63 3
"720" 67.5 65 0 63 5
"721" 67.5 65 0 63 2
"722" 67.5 65 0 62.5 9
"723" 67.5 65 0 62 8
"724" 67 64 1 71.5 3
"725" 67 64 1 70 2
"726" 67 64 1 67 2
"727" 67 64 1 67 7
"728" 67 63.5 1 71 10
"729" 67 63.5 1 70.2 7
"730" 67 63.5 1 69.2 9
"731" 67 63.5 1 68.5 4
"732" 67 63.5 1 68 1
"733" 67 63.5 1 67 3
"734" 67 63.5 1 65.5 4
"735" 67 63.5 0 63.5 9
"736" 67 63 1 69 4
"737" 67 63 1 68 7
"738" 67 63 0 63 6
"739" 67.5 62 1 70 1
"740" 67.5 62 1 69.5 5
"741" 67.5 62 1 69 5
"742" 67.5 62 1 68.5 4
"743" 67.5 62 0 66 4
"744" 67 61 1 67 10
"745" 66 67 1 70.5 8
"746" 66 67 1 70.5 2
"747" 66 67 1 67 8
"748" 66 67 1 66 5
"749" 66 67 1 66 4
"750" 66 67 0 62 8
"751" 66 67 0 62 5
"752" 66 67 0 61.5 4
"753" 66 67 1 72 3
"754" 66 67 1 65 9
"755" 66 67 1 65 7
"756" 66 67 0 67 9
"757" 66 67 0 64 2
"758" 66 67 0 64 5
"759" 66 67 0 62 8
"760" 66 67 0 60 9
"761" 66 67 0 60 10
"762" 66 66 1 66 9
"763" 66 66 1 65 2
"764" 66 66 0 67 1
"765" 66 66 0 66.5 1
"766" 66 66 0 65.5 9
"767" 66 66 1 72 3
"768" 66 66 1 68 1
"769" 66 66 0 66 3
"770" 66 66 0 65 5
"771" 66 66 0 62 2
"772" 66 66 0 61 9
"773" 66.5 65 1 68.7 8
"774" 66.5 65 1 68.5 3
"775" 66.5 65 1 66.5 2
"776" 66.5 65 1 64.5 1
"777" 66.5 65 0 62.5 10
"778" 66.5 65 0 60.5 5
"779" 66.5 65 0 60.5 5
"780" 66.5 65 0 57.5 9
"781" 66 65.5 1 72 2
"782" 66 65.5 1 71 3
"783" 66 65.5 1 67 7
"784" 66 65.5 0 66 8
"785" 66 65.5 0 65 5
"786" 66 63 1 70 2
"787" 66 63.5 0 64.5 3
"788" 66 63.5 0 62 6
"789" 66.5 63 1 67.2 7
"790" 66.5 63 1 67 5
"791" 66.5 63 1 65 7
"792" 66.5 63 0 65 5
"793" 66.5 63 0 65 6
"794" 66.5 63 0 63 3
"795" 66.5 62.5 1 70 2
"796" 66.5 62.5 1 68 9
"797" 66.5 62.5 0 63.5 3
"798" 66.5 62.5 0 62.5 7
"799" 66.5 62.5 0 62.5 8
"800" 66.5 62.5 0 62.5 9
"801" 66.5 62.5 0 62.5 3
"802" 66 61.5 1 70 7
"803" 66 60 1 68 2
"804" 66 60 1 67 8
"805" 66 60 1 65 2
"806" 66 60 0 60 5
"807" 66 60 1 65 4
"808" 66 59 1 68 1
"809" 66 59 1 67 5
"810" 66 59 1 66.5 4
"811" 66 59 1 66 4
"812" 66 59 1 65.7 9
"813" 66 59 1 65.5 3
"814" 66 59 1 65 8
"815" 66 59 0 65 1
"816" 66 59 0 64 10
"817" 66 59 0 63 2
"818" 66 59 0 62 3
"819" 66 59 0 61 1
"820" 66 59 0 60 3
"821" 66 59 0 58 1
"822" 66 59 0 57 7
"823" 65 67 1 66.5 4
"824" 65 67 1 66 1
"825" 65 67 1 66 3
"826" 65 67 0 65 9
"827" 65 67 0 63 8
"828" 65 66 1 63 8
"829" 65 66 0 63 1
"830" 65 66 0 63 9
"831" 65 66 0 60 1
"832" 65 65 1 69 2
"833" 65 65 1 68 5
"834" 65 65 1 68 8
"835" 65 65 0 65 2
"836" 65 65 0 65 2
"837" 65 65 0 62 4
"838" 65 65 0 62 3
"839" 65 65 0 61 6
"840" 65 65 0 59 8
"841" 65 65.5 1 70.7 4
"842" 65 65.5 0 65.5 9
"843" 65 65 1 69.2 1
"844" 65 65 1 69 8
"845" 65 65 1 68 2
"846" 65 65 1 67.7 9
"847" 65 65 0 64.5 5
"848" 65 65 0 60.5 3
"849" 65 64 1 67 1
"850" 65 64 1 67 2
"851" 65 64 0 64 8
"852" 65 64 0 64 8
"853" 65 64 0 62.5 1
"854" 65 64 0 60.5 10
"855" 65 63 1 70 2
"856" 65 63 0 63 4
"857" 65 63 1 66 8
"858" 65 63 1 66 4
"859" 65 63 0 63 1
"860" 65.5 63 1 71 3
"861" 65.5 63 1 71 4
"862" 65.5 63 1 69 5
"863" 65.5 63 0 63.5 6
"864" 65.5 60 1 68 5
"865" 65.5 60 1 68 4
"866" 65.5 60 1 67 3
"867" 65.5 60 1 67 5
"868" 65.5 60 0 62 4
"869" 64 64 1 71.5 2
"870" 64 64 1 68 3
"871" 64 64 0 65.5 3
"872" 64 64 0 64 8
"873" 64 64 0 62 8
"874" 64 64 0 62 8
"875" 64 64 0 61 2
"876" 64 64 1 70.5 1
"877" 64 64 1 68 10
"878" 64 64 0 67 8
"879" 64 64 0 65 9
"880" 64 64 0 64 1
"881" 64 64 0 64 1
"882" 64 64 0 60 3
"883" 64 63 1 64.5 2
"884" 64 60 1 66 1
"885" 64 60 0 60 1
"886" 62 66 1 64 6
"887" 62 66 0 62 6
"888" 62 66 0 61 6
"889" 62.5 63 1 66.5 2
"890" 62.5 63 0 57 2
"891" 68.5 65 1 72 9
"892" 68.5 65 1 70.5 10
